SDSS_J              R.A.        Dec.          z     u_mag   sig_u   g_mag   sig_g   r_mag   sig_r   i_mag   sig_i   z_mag   sig_z   Radio   X-ray   J_mag   sig_J   H_mag   sig_H   K_mag   sig_K   M_i
090216.54+363845.2  135.568958  36.645897   3.4470  24.219  0.821   20.543  0.029   19.928  0.021   19.767  0.026   19.599  0.061   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.873
090218.51+050317.5  135.577146  5.054866    2.9670  21.037  0.081   19.515  0.019   19.231  0.017   19.032  0.017   18.951  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.301
090219.67+065515.3  135.581980  6.920918    1.3162  20.544  0.058   20.493  0.024   20.167  0.028   19.961  0.036   20.144  0.140   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.529
090220.26+562000.0  135.584437  56.333340   1.8325  20.677  0.108   20.035  0.028   19.700  0.027   19.194  0.027   19.048  0.065   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.001
090221.10+412524.8  135.587929  41.423574   2.9386  21.782  0.155   20.183  0.023   19.996  0.026   19.717  0.033   19.476  0.052   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.547
090221.35+003421.0  135.588964  0.572520    0.3261  19.381  0.024   19.053  0.015   18.594  0.014   18.478  0.015   17.908  0.023   0.000   -9.000  16.733  0.170   15.668  0.136   14.968  0.133   -22.614
090221.54+481136.5  135.589757  48.193477   0.8729  19.288  0.030   18.950  0.012   18.871  0.021   19.006  0.019   18.859  0.041   13.176  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.434
090223.35+383044.1  135.597294  38.512273   1.8352  19.748  0.037   19.745  0.023   19.766  0.019   19.489  0.023   19.459  0.066   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.720
090224.11+493156.9  135.600478  49.532487   1.2446  19.057  0.029   19.207  0.032   19.079  0.023   19.090  0.017   19.178  0.049   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.201
090225.02+013106.7  135.604256  1.518551    1.8434  20.033  0.040   19.799  0.024   19.667  0.018   19.361  0.031   19.444  0.080   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.925
090225.23+433002.7  135.605136  43.500773   0.7030  20.682  0.072   19.472  0.025   19.044  0.030   18.885  0.019   18.461  0.034   14.847  -1.457  0.000   0.000   0.000   0.000   0.000   0.000   -24.028
090225.96+065902.0  135.608169  6.983911    1.6029  19.788  0.037   19.486  0.021   19.403  0.022   19.196  0.028   19.213  0.061   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.767
090226.14+551807.3  135.608918  55.302037   2.1465  19.805  0.035   19.355  0.023   19.184  0.017   19.158  0.020   18.959  0.039   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.399
090226.55+411040.2  135.610664  41.177845   1.2050  20.282  0.044   20.250  0.026   19.855  0.022   19.952  0.033   20.094  0.092   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.253
090227.16+044309.5  135.613177  4.719322    0.5321  19.611  0.040   19.090  0.030   18.837  0.022   18.431  0.018   18.285  0.033   10.941  -9.000  17.101  0.236   16.068  0.145   15.082  0.163   -23.855
090228.49+020348.5  135.618734  2.063478    1.8429  20.014  0.047   19.861  0.023   19.826  0.023   19.680  0.031   19.853  0.109   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.597
090229.22+483906.1  135.621756  48.651719   1.3729  19.237  0.024   19.451  0.021   19.122  0.023   19.093  0.017   19.091  0.052   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.438
090229.63+583741.9  135.623486  58.628314   0.9044  20.406  0.067   20.202  0.024   20.054  0.027   20.001  0.034   19.738  0.083   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.560
090229.73+384643.4  135.623877  38.778747   1.1493  19.091  0.028   19.099  0.016   18.937  0.015   18.950  0.016   18.967  0.039   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.159
090229.92+564159.5  135.624695  56.699871   1.2755  20.235  0.076   20.395  0.041   19.948  0.043   19.902  0.040   19.863  0.128   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.444
090230.44+464150.4  135.626849  46.697347   1.8294  19.267  0.033   19.357  0.043   19.352  0.018   19.013  0.033   19.120  0.048   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.185
090233.93+401035.0  135.641402  40.176402   1.1472  19.896  0.034   19.560  0.018   19.124  0.022   19.194  0.023   19.153  0.055   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.897
090234.76+432154.4  135.644869  43.365123   4.1958  24.687  1.202   21.651  0.064   20.086  0.027   19.725  0.027   19.879  0.117   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.317
090236.35+564745.3  135.651473  56.795919   0.9748  18.939  0.030   18.802  0.031   18.671  0.033   18.802  0.022   18.811  0.055   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.899
090236.92-002326.0  135.653848  -0.390582   0.8274  20.489  0.051   20.204  0.022   19.948  0.022   19.935  0.026   19.596  0.070   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.408
090237.63+451625.3  135.656794  45.273706   1.2968  19.463  0.034   19.498  0.058   19.102  0.029   19.138  0.020   19.255  0.057   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.252
090238.38+522815.7  135.659926  52.471035   1.3750  19.272  0.026   19.251  0.022   18.912  0.022   18.781  0.023   18.778  0.045   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.738
090238.73+532032.9  135.661401  53.342473   2.6402  22.653  0.381   21.197  0.043   20.427  0.041   19.972  0.032   19.466  0.060   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.052
090239.24+361721.6  135.663507  36.289352   1.3407  19.283  0.033   19.091  0.019   18.982  0.025   18.904  0.023   18.898  0.046   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.579
090239.76+581922.9  135.665685  58.323048   1.1691  19.921  0.040   19.729  0.024   19.539  0.048   19.354  0.023   19.410  0.076   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.825
090239.89+395726.7  135.666215  39.957441   3.0908  19.451  0.029   18.331  0.019   18.088  0.032   18.030  0.030   18.030  0.021   12.637  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -28.350
090240.23+031151.4  135.667633  3.197613    1.8975  20.122  0.067   19.739  0.023   19.312  0.017   19.048  0.018   18.881  0.046   14.809  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.295
090241.07+571828.9  135.671161  57.308053   2.0699  20.316  0.074   19.592  0.024   18.814  0.017   18.306  0.019   17.929  0.034   0.000   -9.000  16.869  0.179   15.920  0.157   15.350  0.151   -27.184
090241.94+051248.4  135.674765  5.213447    1.6351  20.749  0.096   20.345  0.033   20.249  0.031   19.999  0.034   19.804  0.107   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.979
090242.07-002125.8  135.675313  -0.357190   4.4512  25.476  0.669   22.391  0.095   20.297  0.026   19.753  0.023   19.454  0.062   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.453
090242.94+014525.1  135.678946  1.756974    3.6865  26.136  0.573   21.464  0.056   19.985  0.026   19.936  0.035   19.979  0.145   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.916
090243.52+505706.4  135.681356  50.951803   1.2340  19.082  0.024   19.008  0.023   18.760  0.018   18.738  0.018   18.768  0.039   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.541
090243.53+543302.4  135.681410  54.550681   0.5935  19.208  0.028   18.781  0.016   18.810  0.016   18.692  0.023   18.693  0.041   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.800
090243.55+374909.1  135.681488  37.819199   3.2693  22.328  0.212   19.510  0.017   19.073  0.019   19.009  0.016   18.918  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.509
090244.27+470650.4  135.684498  47.114024   0.3968  18.076  0.022   17.851  0.025   17.914  0.017   17.935  0.017   17.573  0.023   0.000   -1.240  0.000   0.000   0.000   0.000   0.000   0.000   -23.589
090244.41+005942.0  135.685064  0.995004    1.9094  19.913  0.061   19.614  0.024   19.292  0.027   19.043  0.022   18.908  0.050   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.307
090244.80+050739.9  135.686681  5.127760    1.5427  20.008  0.054   19.725  0.029   19.739  0.025   19.558  0.026   19.643  0.095   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.280
090246.29+071308.9  135.692889  7.219155    1.8519  19.240  0.023   19.063  0.019   18.926  0.026   18.741  0.020   18.572  0.036   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.575
090246.66+362945.2  135.694457  36.495893   0.9723  18.643  0.023   18.414  0.021   18.147  0.013   18.142  0.018   17.940  0.030   0.000   -9.000  16.502  0.145   15.620  0.100   15.638  0.203   -25.570
090248.16+404913.3  135.700686  40.820370   2.6851  20.626  0.061   20.179  0.028   20.157  0.028   20.025  0.030   19.975  0.109   15.664  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.038
090249.16+401957.0  135.704858  40.332513   1.9820  20.655  0.055   20.541  0.024   20.252  0.030   20.193  0.036   19.950  0.094   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.186
090250.01+360255.1  135.708395  36.048649   1.7560  20.112  0.044   20.124  0.028   20.158  0.031   19.959  0.042   20.132  0.145   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.161
090250.08-001107.6  135.708684  -0.185453   1.1261  19.697  0.033   19.576  0.022   19.213  0.019   19.199  0.020   19.221  0.057   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.897
090250.50+400331.5  135.710434  40.058759   2.4298  19.086  0.025   18.461  0.019   18.446  0.032   18.413  0.031   18.202  0.023   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.430
090252.86+550443.8  135.720269  55.078846   1.8304  18.387  0.021   18.166  0.019   18.168  0.014   18.006  0.020   18.013  0.024   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.183
090253.43+062824.2  135.722640  6.473402    3.3749  25.371  0.662   20.718  0.029   20.140  0.029   19.933  0.035   19.894  0.105   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.728
090255.39+572246.9  135.730825  57.379713   2.0316  20.098  0.065   20.108  0.028   19.960  0.029   19.859  0.038   19.567  0.115   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.592
090255.51+044035.3  135.731307  4.676499    1.3057  19.298  0.025   19.307  0.019   19.026  0.018   19.043  0.021   19.090  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.403
090255.76+044347.7  135.732343  4.729927    1.2822  19.715  0.042   19.708  0.031   19.274  0.023   19.102  0.021   18.997  0.049   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.302
090257.07+403953.5  135.737825  40.664868   1.2135  19.014  0.029   18.892  0.024   18.727  0.020   18.708  0.019   18.633  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.519
090257.75+011111.8  135.740629  1.186616    1.0423  19.887  0.041   19.525  0.017   19.063  0.022   18.917  0.020   18.717  0.042   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.006
090258.36+410349.7  135.743183  41.063812   1.4074  20.185  0.042   20.312  0.026   20.240  0.039   19.882  0.028   19.983  0.068   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.690
090259.33+042224.9  135.747234  4.373591    2.1069  19.757  0.044   19.238  0.017   19.094  0.019   19.079  0.020   18.999  0.045   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.485
090300.40+071617.5  135.751667  7.271528    1.0681  18.891  0.020   18.734  0.019   18.387  0.025   18.375  0.018   18.404  0.033   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.636
090301.07+015602.9  135.754487  1.934160    1.9445  19.307  0.030   19.281  0.018   19.201  0.019   19.005  0.018   18.992  0.061   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.410
090301.25+535315.6  135.755218  53.887684   2.4406  19.116  0.026   18.495  0.028   18.376  0.013   18.398  0.015   18.242  0.028   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.449
090301.83+514401.5  135.757661  51.733777   0.6894  19.318  0.032   18.958  0.021   18.955  0.016   19.018  0.023   18.858  0.057   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.841
090302.91+400059.5  135.762163  40.016543   1.7913  19.118  0.026   18.910  0.019   18.921  0.032   18.744  0.031   18.736  0.029   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.405
090302.99+004156.1  135.762468  0.698929    1.1266  19.549  0.027   19.475  0.016   19.192  0.020   19.197  0.019   19.405  0.060   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.890
090303.50+021643.3  135.764586  2.278719    1.9688  19.917  0.036   19.710  0.018   19.620  0.020   19.437  0.026   19.288  0.067   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.983
090303.83+392939.4  135.765998  39.494290   1.9344  19.405  0.032   19.390  0.018   19.394  0.017   19.127  0.021   19.001  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.203
090304.00+465104.1  135.766693  46.851166   1.4700  19.362  0.081   19.340  0.048   18.987  0.025   18.780  0.029   18.756  0.040   8.353   -1.558  0.000   0.000   0.000   0.000   0.000   0.000   -25.905
090304.61+480336.5  135.769212  48.060151   1.7358  19.100  0.021   18.973  0.017   18.961  0.022   18.786  0.023   18.855  0.036   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.289
090305.81+424426.9  135.774224  42.740833   2.6371  19.394  0.027   18.718  0.020   18.577  0.012   18.518  0.016   18.402  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.513
090305.91+014850.7  135.774663  1.814104    0.4439  19.139  0.028   18.857  0.017   18.825  0.018   18.588  0.021   18.292  0.038   0.000   -9.000  17.366  0.254   16.367  0.223   15.282  0.185   -23.288
090306.16+400228.8  135.775705  40.041334   1.4578  18.933  0.024   18.786  0.019   18.520  0.032   18.279  0.030   18.227  0.023   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.386
090306.55+573440.1  135.777329  57.577812   1.2701  20.000  0.057   19.830  0.028   19.451  0.021   19.329  0.026   19.322  0.093   13.445  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.019
090306.62+010436.0  135.777616  1.076691    1.2883  18.797  0.022   18.715  0.015   18.426  0.023   18.281  0.016   18.240  0.030   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.145
090306.79+564014.6  135.778316  56.670741   2.4921  20.456  0.072   19.852  0.031   19.810  0.035   19.774  0.036   19.657  0.086   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.127
090307.66+445630.1  135.781928  44.941712   0.5795  19.060  0.034   18.804  0.020   18.908  0.022   18.767  0.026   18.973  0.046   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.675
090309.56+483808.3  135.789844  48.635662   2.0664  19.175  0.024   18.971  0.020   18.836  0.022   18.829  0.015   18.609  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.651
090311.25+030324.5  135.796885  3.056809    1.5887  18.971  0.022   18.616  0.019   18.548  0.013   18.290  0.013   18.247  0.030   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.629
090312.22+070832.4  135.800956  7.142349    2.2332  19.458  0.031   18.912  0.021   18.667  0.024   18.642  0.024   18.542  0.037   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.117
090312.37+003908.5  135.801547  0.652388    2.2591  19.654  0.028   19.199  0.015   19.189  0.020   19.134  0.018   18.963  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.580
090313.73+380300.9  135.807210  38.050253   2.9097  23.856  0.971   21.139  0.047   20.526  0.040   19.971  0.032   19.640  0.096   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.286
090315.42+373622.5  135.814280  37.606261   1.0786  20.428  0.056   20.317  0.030   19.922  0.025   20.108  0.033   20.160  0.120   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.856
090315.71+394459.1  135.815493  39.749756   1.5903  19.714  0.036   19.483  0.020   19.369  0.021   19.200  0.020   19.115  0.049   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.671
090315.82+062924.8  135.815930  6.490224    1.1676  20.577  0.055   20.387  0.023   20.038  0.029   20.148  0.041   20.232  0.138   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.070
090317.81+362357.7  135.824222  36.399368   1.0736  19.596  0.032   19.289  0.021   18.995  0.025   19.079  0.022   19.152  0.055   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.869
090318.04+035218.3  135.825171  3.871773    0.6243  19.449  0.028   19.005  0.020   19.074  0.018   18.975  0.020   18.990  0.046   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.698
090319.53+384349.4  135.831396  38.730409   0.2052  18.013  0.013   18.194  0.012   18.056  0.015   17.592  0.016   17.768  0.024   0.000   -0.805  16.209  0.117   15.266  0.130   14.382  0.083   -22.372
090319.61+570140.8  135.831716  57.028024   1.1462  18.830  0.028   18.840  0.021   18.746  0.020   18.694  0.019   18.760  0.054   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.404
090320.27+063759.9  135.834483  6.633312    1.4756  20.058  0.053   19.877  0.023   19.637  0.024   19.426  0.025   19.584  0.103   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.347
090320.36+381808.8  135.834856  38.302471   1.6712  19.138  0.025   18.933  0.019   19.022  0.012   18.866  0.015   18.912  0.046   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.126
090320.63-001626.5  135.835995  -0.274030   1.8665  19.290  0.025   19.174  0.016   19.028  0.017   18.610  0.016   18.545  0.032   15.144  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.673
090321.44+525054.9  135.839367  52.848585   1.5535  19.790  0.037   19.359  0.022   19.054  0.018   18.841  0.016   18.768  0.037   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.963
090321.73+010317.2  135.840567  1.054779    0.9997  20.293  0.056   20.224  0.024   19.962  0.032   19.981  0.035   19.979  0.122   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.833
090321.91+415840.1  135.841295  41.977826   0.4722  19.007  0.053   18.688  0.019   18.892  0.020   18.641  0.022   18.497  0.042   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.297
090323.77+054449.4  135.849071  5.747063    0.4130  19.358  0.030   19.061  0.031   18.983  0.023   18.702  0.023   18.392  0.031   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.997
090324.45-004028.3  135.851884  -0.674547   1.5970  19.732  0.038   19.449  0.025   19.330  0.022   19.113  0.018   19.067  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.785
090325.41+015906.4  135.855882  1.985127    0.8286  19.957  0.042   19.643  0.020   19.535  0.021   19.572  0.025   19.482  0.094   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.807
090329.50+392329.5  135.872957  39.391529   1.7497  19.617  0.034   19.621  0.033   19.686  0.033   19.472  0.022   19.515  0.065   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.626
090331.90+011804.5  135.882935  1.301277    1.9072  20.498  0.067   20.242  0.030   20.021  0.036   19.564  0.031   19.617  0.092   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.783
090334.52+065741.1  135.893846  6.961426    2.0511  19.834  0.038   19.616  0.019   19.543  0.023   19.340  0.025   19.332  0.071   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.217
090334.94+502819.3  135.895593  50.472045   3.5840  24.633  1.158   22.297  0.149   20.266  0.050   19.548  0.053   19.204  0.068   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.167
090335.11+385428.0  135.896311  38.907797   2.1105  20.553  0.057   20.203  0.023   19.721  0.019   19.278  0.026   18.982  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.251
090335.47+013224.3  135.897805  1.540092    0.3743  18.211  0.018   18.029  0.016   17.853  0.020   17.849  0.014   17.613  0.023   0.000   -9.000  16.597  0.138   15.872  0.134   14.908  0.120   -23.597
090337.60+460038.9  135.906669  46.010830   0.3293  19.434  0.066   19.532  0.036   19.218  0.030   19.070  0.031   18.413  0.044   0.000   -1.641  17.316  0.205   16.564  0.217   15.554  0.189   -22.002
090338.81+034602.5  135.911729  3.767369    2.0040  19.168  0.025   19.119  0.021   19.031  0.018   18.852  0.019   18.692  0.037   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.606
090339.52+062045.9  135.914674  6.346083    1.0647  20.595  0.068   20.389  0.028   20.079  0.030   20.196  0.051   20.837  0.259   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.802
090340.16+350430.2  135.917350  35.075074   2.0761  18.611  0.021   18.487  0.021   18.362  0.016   18.180  0.017   17.998  0.030   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.336
090340.31+382310.9  135.917999  38.386361   1.0203  20.538  0.059   20.402  0.023   20.120  0.024   20.330  0.033   20.303  0.148   15.401  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.492
090340.98+391709.8  135.920772  39.286074   0.5763  18.360  0.025   18.087  0.031   18.230  0.030   18.155  0.014   18.237  0.029   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.275
090341.17+362715.8  135.921557  36.454402   3.0780  24.631  1.048   20.797  0.032   20.170  0.032   19.936  0.036   20.070  0.111   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.448
090342.66+570631.7  135.927752  57.108825   2.1077  20.118  0.071   20.087  0.029   19.921  0.032   19.860  0.037   19.502  0.095   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.671
090343.08+062647.3  135.929523  6.446500    1.6668  19.214  0.027   19.021  0.016   18.923  0.021   18.714  0.022   18.645  0.045   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.354
090344.15+401157.8  135.933978  40.199410   1.5504  19.953  0.034   19.539  0.019   19.498  0.022   19.248  0.020   19.272  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.560
090344.41+401850.4  135.935044  40.314008   1.7017  20.677  0.062   20.371  0.029   20.325  0.030   20.091  0.032   20.359  0.130   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.933
090345.16+484016.2  135.938200  48.671171   0.2384  18.733  0.023   18.284  0.021   17.809  0.019   17.500  0.013   17.384  0.020   0.000   -9.000  16.172  0.092   15.227  0.107   14.551  0.085   -22.812
090345.52+472706.4  135.939670  47.451787   0.5557  19.564  0.034   19.197  0.017   19.168  0.020   18.891  0.024   18.764  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.444
090345.70+012534.7  135.940452  1.426324    1.2345  18.989  0.026   18.911  0.023   18.627  0.017   18.526  0.025   18.656  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.793
090345.96+391821.1  135.941540  39.305874   0.3740  19.565  0.034   19.389  0.033   19.099  0.031   18.902  0.017   18.409  0.031   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.482
090347.33+002026.2  135.947232  0.340631    0.4125  18.948  0.024   18.691  0.017   18.691  0.017   18.571  0.022   18.347  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.080
090347.85+060052.6  135.949386  6.014630    1.1085  20.523  0.059   20.446  0.027   20.115  0.031   20.098  0.037   19.941  0.103   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.982
090348.20+394409.8  135.950860  39.736057   1.7570  19.526  0.032   19.042  0.019   18.784  0.020   18.423  0.017   18.293  0.033   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.684
090348.38+013112.6  135.951592  1.520183    1.8060  19.345  0.028   19.295  0.018   19.184  0.022   18.828  0.018   18.841  0.051   13.786  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.394
090349.56+494125.3  135.956518  49.690362   1.5045  18.632  0.022   18.398  0.024   18.334  0.018   18.152  0.022   18.186  0.026   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.595
090350.63+521531.9  135.960997  52.258863   1.3350  19.369  0.028   19.344  0.023   19.051  0.015   19.054  0.022   19.018  0.044   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.399
090351.08+535101.0  135.962844  53.850293   2.8553  20.840  0.071   19.341  0.019   19.215  0.014   19.190  0.028   19.046  0.041   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.007
090351.33+064519.3  135.963893  6.755364    0.8420  18.820  0.028   18.553  0.017   18.458  0.016   18.440  0.019   18.392  0.039   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.983
090351.83+515526.0  135.965980  51.923912   2.0257  19.382  0.033   19.329  0.021   19.374  0.036   19.202  0.025   19.173  0.072   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.230
090352.69+063750.5  135.969570  6.630694    1.5062  19.455  0.036   19.168  0.018   18.890  0.017   18.710  0.020   18.724  0.050   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.105
090353.11+032149.6  135.971305  3.363784    1.6599  20.541  0.071   20.335  0.033   20.360  0.028   20.072  0.033   20.652  0.249   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.936
090353.94+565346.4  135.974764  56.896232   2.0546  19.768  0.054   19.882  0.057   19.519  0.095   19.017  0.054   18.946  0.070   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.455
090354.65+052907.7  135.977716  5.485496    0.7940  20.322  0.045   19.769  0.020   19.750  0.022   19.832  0.025   19.446  0.047   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.432
090355.71+051801.5  135.982166  5.300444    1.9927  20.459  0.066   20.480  0.029   20.418  0.037   20.281  0.046   20.082  0.139   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.166
090356.27+002828.0  135.984470  0.474463    1.4055  19.290  0.023   19.194  0.016   19.048  0.016   18.941  0.017   18.972  0.044   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.675
090356.93+505101.8  135.987243  50.850522   1.5377  19.235  0.031   19.022  0.027   18.946  0.021   18.871  0.060   18.721  0.044   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.933
090357.84+043501.5  135.991018  4.583769    1.9073  19.946  0.034   19.659  0.019   19.364  0.018   19.051  0.019   18.819  0.037   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.281
